series_id,step,forecast,last_actual
1,1,0.20719769,0.20719769
1,2,0.20719769,0.20719769
1,3,0.20719769,0.20719769
1,4,0.20719769,0.20719769
1,5,0.20719769,0.20719769
1,6,0.20719769,0.20719769
1,7,0.20719769,0.20719769
1,8,0.20719769,0.20719769
1,9,0.20719769,0.20719769
1,10,0.20719769,0.20719769
1,11,0.20719769,0.20719769
1,12,0.20719769,0.20719769
1,13,0.20719769,0.20719769
1,14,0.20719769,0.20719769
1,15,0.20719769,0.20719769
1,16,0.20719769,0.20719769
1,17,0.20719769,0.20719769
1,18,0.20719769,0.20719769
1,19,0.20719769,0.20719769
1,20,0.20719769,0.20719769
1,21,0.20719769,0.20719769
1,22,0.20719769,0.20719769
1,23,0.20719769,0.20719769
1,24,0.20719769,0.20719769
1,25,0.20719769,0.20719769
1,26,0.20719769,0.20719769
1,27,0.20719769,0.20719769
1,28,0.20719769,0.20719769
1,29,0.20719769,0.20719769
1,30,0.20719769,0.20719769
2,1,0.598046003,0.598046003
2,2,0.598046003,0.598046003
2,3,0.598046003,0.598046003
2,4,0.598046003,0.598046003
2,5,0.598046003,0.598046003
2,6,0.598046003,0.598046003
2,7,0.598046003,0.598046003
2,8,0.598046003,0.598046003
2,9,0.598046003,0.598046003
2,10,0.598046003,0.598046003
2,11,0.598046003,0.598046003
2,12,0.598046003,0.598046003
2,13,0.598046003,0.598046003
2,14,0.598046003,0.598046003
2,15,0.598046003,0.598046003
2,16,0.598046003,0.598046003
2,17,0.598046003,0.598046003
2,18,0.598046003,0.598046003
2,19,0.598046003,0.598046003
2,20,0.598046003,0.598046003
2,21,0.598046003,0.598046003
2,22,0.598046003,0.598046003
2,23,0.598046003,0.598046003
2,24,0.598046003,0.598046003
2,25,0.598046003,0.598046003
2,26,0.598046003,0.598046003
2,27,0.598046003,0.598046003
2,28,0.598046003,0.598046003
2,29,0.598046003,0.598046003
2,30,0.598046003,0.598046003
3,1,0.361679723,0.361679723
3,2,0.361679723,0.361679723
3,3,0.361679723,0.361679723
3,4,0.361679723,0.361679723
3,5,0.361679723,0.361679723
3,6,0.361679723,0.361679723
3,7,0.361679723,0.361679723
3,8,0.361679723,0.361679723
3,9,0.361679723,0.361679723
3,10,0.361679723,0.361679723
3,11,0.361679723,0.361679723
3,12,0.361679723,0.361679723
3,13,0.361679723,0.361679723
3,14,0.361679723,0.361679723
3,15,0.361679723,0.361679723
3,16,0.361679723,0.361679723
3,17,0.361679723,0.361679723
3,18,0.361679723,0.361679723
3,19,0.361679723,0.361679723
3,20,0.361679723,0.361679723
3,21,0.361679723,0.361679723
3,22,0.361679723,0.361679723
3,23,0.361679723,0.361679723
3,24,0.361679723,0.361679723
3,25,0.361679723,0.361679723
3,26,0.361679723,0.361679723
3,27,0.361679723,0.361679723
3,28,0.361679723,0.361679723
3,29,0.361679723,0.361679723
3,30,0.361679723,0.361679723
4,1,1.336379389,1.336379389
4,2,1.336379389,1.336379389
4,3,1.336379389,1.336379389
4,4,1.336379389,1.336379389
4,5,1.336379389,1.336379389
4,6,1.336379389,1.336379389
4,7,1.336379389,1.336379389
4,8,1.336379389,1.336379389
4,9,1.336379389,1.336379389
4,10,1.336379389,1.336379389
4,11,1.336379389,1.336379389
4,12,1.336379389,1.336379389
4,13,1.336379389,1.336379389
4,14,1.336379389,1.336379389
4,15,1.336379389,1.336379389
4,16,1.336379389,1.336379389
4,17,1.336379389,1.336379389
4,18,1.336379389,1.336379389
4,19,1.336379389,1.336379389
4,20,1.336379389,1.336379389
4,21,1.336379389,1.336379389
4,22,1.336379389,1.336379389
4,23,1.336379389,1.336379389
4,24,1.336379389,1.336379389
4,25,1.336379389,1.336379389
4,26,1.336379389,1.336379389
4,27,1.336379389,1.336379389
4,28,1.336379389,1.336379389
4,29,1.336379389,1.336379389
4,30,1.336379389,1.336379389
5,1,0.219522599,0.219522599
5,2,0.219522599,0.219522599
5,3,0.219522599,0.219522599
5,4,0.219522599,0.219522599
5,5,0.219522599,0.219522599
5,6,0.219522599,0.219522599
5,7,0.219522599,0.219522599
5,8,0.219522599,0.219522599
5,9,0.219522599,0.219522599
5,10,0.219522599,0.219522599
5,11,0.219522599,0.219522599
5,12,0.219522599,0.219522599
5,13,0.219522599,0.219522599
5,14,0.219522599,0.219522599
5,15,0.219522599,0.219522599
5,16,0.219522599,0.219522599
5,17,0.219522599,0.219522599
5,18,0.219522599,0.219522599
5,19,0.219522599,0.219522599
5,20,0.219522599,0.219522599
5,21,0.219522599,0.219522599
5,22,0.219522599,0.219522599
5,23,0.219522599,0.219522599
5,24,0.219522599,0.219522599
5,25,0.219522599,0.219522599
5,26,0.219522599,0.219522599
5,27,0.219522599,0.219522599
5,28,0.219522599,0.219522599
5,29,0.219522599,0.219522599
5,30,0.219522599,0.219522599
