model,step,value,is_extrapolated
arima_v3,0,0.536645633,False
arima_v3,1,0.524056291,False
arima_v3,2,0.510633319,False
arima_v3,3,0.496483482,False
arima_v3,4,0.481510943,False
arima_v3,5,0.465426673,False
arima_v3,6,0.447928949,False
arima_v3,7,0.429029247,False
arima_v3,8,0.408988015,False
arima_v3,9,0.388033478,False
arima_v3,10,0.366281641,False
arima_v3,11,0.343798706,False
arima_v3,12,0.320629708,False
arima_v3,13,0.296820426,False
arima_v3,14,0.27242371,False
arima_v3,15,0.247496865,False
arima_v3,16,0.222096462,False
arima_v3,17,0.196274999,False
arima_v3,18,0.170079805,False
arima_v3,19,0.143553321,False
arima_v3,20,0.116734265,False
arima_v3,21,0.089659362,False
arima_v3,22,0.062365008,False
arima_v3,23,0.034887985,False
arima_v3,24,0.007265815,False
arima_v3,25,-0.020462642,False
arima_v3,26,-0.048256584,False
arima_v3,27,-0.076072651,False
arima_v3,28,-0.1038644,False
arima_v3,29,-0.131582932,False
arima_v3,30,-5.569342089932884,True
arima_v3,31,-17.356277450442246,True
arima_v3,32,-28.91358119420618,True
arima_v3,33,-41.180120331914004,True
arima_v3,34,-54.096537445381045,True
arima_v3,35,-67.93981119557245,True
arima_v3,36,-82.94562110513364,True
arima_v3,37,-99.0661659859353,True
arima_v3,38,-116.06783359389719,True
arima_v3,39,-133.77615668826743,True
arima_v3,40,-152.111244656082,True
arima_v3,41,-171.02440190003003,True
arima_v3,42,-190.48161101781452,True
arima_v3,43,-210.4458504315626,True
arima_v3,44,-230.87402530048237,True
arima_v3,45,-251.71987381901087,True
arima_v3,46,-272.9383133498184,True
arima_v3,47,-294.4878465018276,True
arima_v3,48,-316.33119640338634,True
arima_v3,49,-338.4349463144764,True
arima_v3,50,-360.7685177842566,True
arima_v3,51,-383.3027300035424,True
arima_v3,52,-406.00848632866484,True
arima_v3,53,-428.8563194373982,True
arima_v3,54,-451.81613530144483,True
arima_v3,55,-474.8566998753256,True
arima_v3,56,-497.9451608129639,True
arima_v3,57,-521.0465525481407,True
arima_v3,58,-544.1233882571945,True
arima_v3,59,-567.1363047692828,True
naive,0,0.465426673,False
naive,1,0.447928949,False
naive,2,0.429029247,False
naive,3,0.408988015,False
naive,4,0.388033478,False
naive,5,0.366281641,False
naive,6,0.343798706,False
naive,7,0.320629708,False
naive,8,0.296820426,False
naive,9,0.27242371,False
naive,10,0.247496865,False
naive,11,0.222096462,False
naive,12,0.196274999,False
naive,13,0.170079805,False
naive,14,0.143553321,False
naive,15,0.116734265,False
naive,16,0.089659362,False
naive,17,0.062365008,False
naive,18,0.034887985,False
naive,19,0.007265815,False
naive,20,-0.020462642,False
naive,21,-0.048256584,False
naive,22,-0.076072651,False
naive,23,-0.1038644,False
naive,24,-0.131582932,False
naive,25,-0.131582932,True
naive,26,-0.131582932,True
naive,27,-0.131582932,True
naive,28,-0.131582932,True
naive,29,-0.131582932,True
naive,30,-0.131582932,True
naive,31,-0.131582932,True
naive,32,-0.131582932,True
naive,33,-0.131582932,True
naive,34,-0.131582932,True
naive,35,-0.131582932,True
naive,36,-0.131582932,True
naive,37,-0.131582932,True
naive,38,-0.131582932,True
naive,39,-0.131582932,True
naive,40,-0.131582932,True
naive,41,-0.131582932,True
naive,42,-0.131582932,True
naive,43,-0.131582932,True
naive,44,-0.131582932,True
naive,45,-0.131582932,True
naive,46,-0.131582932,True
naive,47,-0.131582932,True
naive,48,-0.131582932,True
naive,49,-0.131582932,True
naive,50,-0.131582932,True
naive,51,-0.131582932,True
naive,52,-0.131582932,True
naive,53,-0.131582932,True
naive,54,-0.131582932,True
