model,horizon,mae,n_predictions,timestamp
naive,1,0.0017701572500000054,20,20260108_022407
naive,3,0.0034688408666666715,60,20260108_022407
naive,5,0.005104994990000003,100,20260108_022407
naive,10,0.009145961631578952,190,20260108_022407
naive,20,0.01685927312941177,340,20260108_022407
arima_statsmodels,1,0.0008624842627507345,20,20260108_022407
arima_statsmodels,3,0.0025393430245225215,60,20260108_022407
arima_statsmodels,5,0.004170988359679096,100,20260108_022407
arima_statsmodels,10,0.008429007869148408,190,20260108_022407
arima_statsmodels,20,0.017017166377128502,340,20260108_022407
arima_v3,1,0.0023212861544465004,20,20260108_022422
arima_v3,3,0.0047451221642461055,60,20260108_022422
arima_v3,5,0.007088234862369124,100,20260108_022422
arima_v3,10,0.012982873769540769,190,20260108_022422
arima_v3,20,0.024487137110592173,340,20260108_022422
gbm,1,0.002890801445019424,20,20260108_022427
gbm,3,0.004696172746233671,60,20260108_022427
gbm,5,0.00645606028851954,100,20260108_022427
gbm,10,0.01078419037254963,190,20260108_022427
gbm,20,0.01898434361834472,340,20260108_022427
nbeats,1,0.0017701572500000054,20,20260108_022446
nbeats,3,0.0034688408666666715,60,20260108_022446
nbeats,5,0.005104994990000003,100,20260108_022446
nbeats,10,0.009145961631578952,190,20260108_022446
nbeats,20,0.01685927312941177,340,20260108_022446
tft,1,0.0017701572500000054,20,20260108_022446
tft,3,0.0034688408666666715,60,20260108_022446
tft,5,0.005104994990000003,100,20260108_022446
tft,10,0.009145961631578952,190,20260108_022446
tft,20,0.01685927312941177,340,20260108_022446
