step,forecasted,start_point,actual
0,0.478390015,500,0.474381392
1,0.478390015,500,0.470423246
2,0.478390015,500,0.466601956
3,0.478390015,500,0.463008852
4,0.478390015,500,0.45975594
5,0.478390015,500,0.457007538
6,0.478390015,500,0.454986208
7,0.478390015,500,0.453813853
8,0.478390015,500,0.453427541
9,0.478390015,500,0.453660225
10,0.478390015,500,0.4544237
11,0.478390015,500,0.455715572
12,0.478390015,500,0.457645184
13,0.478390015,500,0.460377862
14,0.478390015,500,0.463998914
15,0.478390015,500,0.468397844
16,0.478390015,500,0.473368681
17,0.478390015,500,0.478753928
18,0.478390015,500,0.484458491
19,0.478390015,500,0.490404417
20,0.478390015,500,0.49651794
21,0.478390015,500,0.502724372
22,0.478390015,500,0.508951784
23,0.478390015,500,0.51513465
24,0.478390015,500,0.52121547
25,0.478390015,500,0.527144658
26,0.478390015,500,0.532879557
27,0.478390015,500,0.538383211
28,0.478390015,500,0.543622836
29,0.478390015,500,0.548567839
30,0.478390015,500,0.553187944
31,0.478390015,500,0.557452698
32,0.478390015,500,0.56133444
33,0.478390015,500,0.564813232
34,0.478390015,500,0.567879328
35,0.478390015,500,0.570532611
36,0.478390015,500,0.572780543
37,0.478390015,500,0.574637216
38,0.478390015,500,0.576125099
39,0.478390015,500,0.57727829
40,0.478390015,500,0.578144558
41,0.478390015,500,0.578783656
42,0.478390015,500,0.57926188
43,0.478390015,500,0.579646706
44,0.478390015,500,0.580005341
45,0.478390015,500,0.580402478
46,0.478390015,500,0.580895793
47,0.478390015,500,0.581530814
48,0.478390015,500,0.582337685
49,0.478390015,500,0.583331297
